DatePaid;TrackingNumber;Location;LocationName;OSS360_PaymentType;BankName;Montant Total
02/10/2020;L04_02_20201002_42458;L04;Agence Evolis;Chèque UBA          ;CITIBANK;79081
05/10/2020;L04_02_20201005_42502;L04;Agence Evolis;Chèque BGFI         ;BGFI BANK;2588937
05/10/2020;L04_02_20201005_42502;L04;Agence Evolis;Chèque BICIG        ;BGFI BANK;928791
05/10/2020;L04_02_20201005_42502;L04;Agence Evolis;Chèque CITIGROUP    ;BGFI BANK;1243550
05/10/2020;L04_02_20201005_42502;L04;Agence Evolis;Chèque ECOBANK      ;BGFI BANK;112948
05/10/2020;L04_02_20201005_42502;L04;Agence Evolis;Chèque UBA          ;BGFI BANK;151270
05/10/2020;L04_02_20201005_42502;L04;Agence Evolis;Chèque UGB          ;BGFI BANK;2386704
06/10/2020;L04_02_20201006_42541;L04;Agence Evolis;Chèque BGFI         ;UBA BANK;186700
06/10/2020;L04_02_20201006_42541;L04;Agence Evolis;Chèque BICIG        ;UBA BANK;2016182
06/10/2020;L04_02_20201006_42541;L04;Agence Evolis;Chèque ECOBANK      ;UBA BANK;191299
06/10/2020;L04_02_20201006_42541;L04;Agence Evolis;Chèque UGB          ;UBA BANK;397170
07/10/2020;L04_02_20201007_42590;L04;Agence Evolis;Chèque BGFI         ;UBA BANK;2764666
07/10/2020;L04_02_20201007_42590;L04;Agence Evolis;Chèque BICIG        ;UBA BANK;1062146
07/10/2020;L04_02_20201007_42590;L04;Agence Evolis;Chèque CDC          ;UBA BANK;1242910
07/10/2020;L04_02_20201007_42590;L04;Agence Evolis;Chèque ECOBANK      ;UBA BANK;1447464
07/10/2020;L04_02_20201007_42590;L04;Agence Evolis;Chèque ORABANK      ;UBA BANK;248426
07/10/2020;L04_02_20201007_42590;L04;Agence Evolis;Chèque UBA          ;UBA BANK;180000
07/10/2020;L04_02_20201007_42590;L04;Agence Evolis;Chèque UGB          ;UBA BANK;3043132
08/10/2020;L04_02_20201008_42643;L04;Agence Evolis;Chèque BGFI         ;CITIBANK;1592599
08/10/2020;L04_02_20201008_42643;L04;Agence Evolis;Chèque BICIG        ;CITIBANK;335869
08/10/2020;L04_02_20201008_42643;L04;Agence Evolis;Chèque ECOBANK      ;CITIBANK;1102543
08/10/2020;L04_02_20201008_42643;L04;Agence Evolis;Chèque ORABANK      ;CITIBANK;489156
08/10/2020;L04_02_20201008_42643;L04;Agence Evolis;Chèque UGB          ;CITIBANK;387127
09/10/2020;L04_02_20201009_42692;L04;Agence Evolis;Chèque BGFI         ;CITIBANK;317706
09/10/2020;L04_02_20201009_42692;L04;Agence Evolis;Chèque BICIG        ;CITIBANK;2304359
09/10/2020;L04_02_20201009_42692;L04;Agence Evolis;Chèque CITIGROUP    ;CITIBANK;2904966
09/10/2020;L04_02_20201009_42692;L04;Agence Evolis;Chèque ECOBANK      ;CITIBANK;61235
09/10/2020;L04_02_20201009_42692;L04;Agence Evolis;Chèque ORABANK      ;CITIBANK;7579721
09/10/2020;L04_02_20201009_42692;L04;Agence Evolis;Chèque UGB          ;CITIBANK;2883183
09/09/2020;L05_01_20200909_41675;L05;Agence Principale;Espèces;UBA BANK;1221330
10/09/2020;L05_01_20200910_41737;L05;Agence Principale;Espèces;BGFI BANK;1259631
